Species,Treatment,ID,Root Weight,Shoot Weight,Lost Weight,Total Weight,Lost Weight %,Root %,Shoot %
ES,P,ES-P-1,0.248,0.403,0.032,0.683,0.047,0.363,0.590
ES,NP,ES-NP-1,0.034,0.045,0.178,0.257,0.693,0.132,0.175
ES,P,ES-P-2,0.167,0.503,0.032,0.702,0.046,0.238,0.717
ES,NP,ES-NP-2,0.193,0.672,0.101,0.966,0.105,0.200,0.696
ES,P,ES-P-3,0.110,0.552,0.053,0.715,0.074,0.154,0.772
ES,NP,ES-NP-3,0.256,0.058,0.254,0.568,0.447,0.451,0.102
ES,P,ES-P-4,0.228,0.266,0.337,0.831,0.406,0.274,0.320
ES,NP,ES-NP-4,0.315,0.386,0.412,1.113,0.370,0.283,0.347
ES,P,ES-P-5,0.106,0.673,0.058,0.837,0.069,0.127,0.804
ES,NP,ES-NP-5,0.257,0.981,0.133,1.371,0.097,0.187,0.716
ES,P,ES-P-6,0.369,0.923,0.054,1.346,0.040,0.274,0.686
ES,NP,ES-NP-6,0.278,0.658,0.115,1.051,0.109,0.265,0.626
ES,P,ES-P-7,0.211,0.514,0.040,0.765,0.052,0.276,0.672
ES,NP,ES-NP-7,0.117,0.302,0.197,0.616,0.320,0.190,0.490
ES,P,ES-P-8,0.299,0.477,0.016,0.792,0.020,0.378,0.602
ES,NP,ES-NP-8,0.091,0.522,0.308,0.921,0.334,0.099,0.567
ES,P,ES-P-9,0.134,0.474,0.120,0.728,0.165,0.184,0.651
ES,NP,ES-NP-9,0.204,0.869,0.027,1.100,0.025,0.185,0.790
ES,P,ES-P-10,0.269,0.761,0.011,1.041,0.011,0.258,0.731
ES,NP,ES-NP-10,0.142,0.293,0.532,0.967,0.550,0.147,0.303
ES,P,ES-P-11,0.157,0.384,0.140,0.681,0.206,0.231,0.564
ES,NP,ES-NP-11,0.261,0.194,0.532,0.987,0.539,0.264,0.197
ES,P,ES-P-12,0.507,0.103,0.006,0.616,0.010,0.823,0.167
ES,NP,ES-NP-12,0.266,0.065,0.469,0.800,0.586,0.333,0.081
ES,P,ES-P-13,0.196,0.569,0.022,0.787,0.028,0.249,0.723
ES,NP,ES-NP-13,0.181,0.329,0.305,0.815,0.374,0.222,0.404
ES,P,ES-P-14,0.120,0.221,0.144,0.485,0.297,0.247,0.456
ES,NP,ES-NP-14,0.085,0.189,0.389,0.663,0.587,0.128,0.285
ES,P,ES-P-15,0.196,0.092,0.381,0.669,0.570,0.293,0.138
ES,NP,ES-NP-15,0.202,0.091,0.376,0.669,0.562,0.302,0.136